Phase,Category,Location/File,Details/Token,Status/Verdict,Evidence/Reason
Phase 1,Codebase Suppression,lib/main.dart,Line 81: } on FirebaseException catch (e) {,ACTIVE,Contains suppression words: ['Exception']
Phase 1,Codebase Suppression,lib/screens/custom_quiz_creator.dart,Line 841: // ignore: avoid_print,ACTIVE,Contains suppression words: ['ignore']
Phase 1,Codebase Suppression,lib/screens/favorites_screen.dart,Line 38: // ignore: avoid_print,ACTIVE,Contains suppression words: ['ignore']
Phase 1,Codebase Suppression,lib/screens/memory_game_screen.dart,Line 146: void _skipMemorize() {,ACTIVE,Contains suppression words: ['skip']
Phase 1,Codebase Suppression,lib/screens/memory_game_screen.dart,"Line 630: onPressed: _skipMemorize,",ACTIVE,Contains suppression words: ['skip']
Phase 1,Codebase Suppression,lib/screens/church_groups_screen.dart,"Line 660: SnackBar(content: Text(""Failed to join: ${e.toString().replaceAll('Exception: ', '')}"")),",ACTIVE,Contains suppression words: ['Exception']
Phase 1,Codebase Suppression,lib/screens/bible_screen.dart,Line 396: // ignore: avoid_print,ACTIVE,Contains suppression words: ['ignore']
Phase 1,Codebase Suppression,lib/screens/bible_screen.dart,Line 427: // ignore: avoid_print,ACTIVE,Contains suppression words: ['ignore']
Phase 1,Codebase Suppression,lib/screens/auth_screen.dart,"Line 1: // ignore_for_file: unused_import, unused_field, unused_element, unused_local_variable",ACTIVE,Contains suppression words: ['ignore']
Phase 1,Codebase Suppression,lib/screens/auth_screen.dart,Line 129: // ignore: avoid_print,ACTIVE,Contains suppression words: ['ignore']
Phase 1,Codebase Suppression,lib/screens/auth_screen.dart,Line 145: // ignore: avoid_print,ACTIVE,Contains suppression words: ['ignore']
Phase 1,Codebase Suppression,lib/screens/auth_screen.dart,Line 185: if (e is FirebaseAuthException) {,ACTIVE,Contains suppression words: ['Exception']
Phase 1,Codebase Suppression,lib/screens/auth_screen.dart,"Line 204: if (errStr.contains(""ApiException: 10"")) {",ACTIVE,Contains suppression words: ['Exception']
Phase 1,Codebase Suppression,lib/screens/auth_screen.dart,"Line 210: return errStr.replaceAll(""Exception: "", """");",ACTIVE,Contains suppression words: ['Exception']
Phase 1,Codebase Suppression,lib/screens/social_feed_screen.dart,Line 118: // ignore: avoid_print,ACTIVE,Contains suppression words: ['ignore']
Phase 1,Codebase Suppression,lib/screens/social_feed_screen.dart,Line 161: // ignore: avoid_print,ACTIVE,Contains suppression words: ['ignore']
