Issue Type,Book,Chapter,Verse,Details
MISSING_VERSE_NUMBER,Jeremiah,51,32,
UNICODE_SUSPICIOUS,Genesis,1,1,GIabcdeghinortv
UNICODE_SUSPICIOUS,Genesis,1,2,AGSacdefhikmnoprstuvw
UNICODE_SUSPICIOUS,Genesis,1,3,AGLabdeghilnorstw
UNICODE_SUSPICIOUS,Genesis,1,4,AGadefghiklmnorstvw
UNICODE_SUSPICIOUS,Genesis,1,5,ADGHNacdefghiklmnorstvwy
UNICODE_SUSPICIOUS,Genesis,1,6,AGLabdefhilmnorstvw
UNICODE_SUSPICIOUS,Genesis,1,7,AGabcdefhimnorstuvw
UNICODE_SUSPICIOUS,Genesis,1,8,AGHacdefghilmnorstvwy
UNICODE_SUSPICIOUS,Genesis,1,9,AGLabcdeghilnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,1,10,AEGHSacdefghilnorstwy
UNICODE_SUSPICIOUS,Genesis,1,11,AGLabdefghiklnoprstuwy
UNICODE_SUSPICIOUS,Genesis,1,12,AGabdefghiklnorstuwy
UNICODE_SUSPICIOUS,Genesis,1,13,Aadeghimnortvwy
UNICODE_SUSPICIOUS,Genesis,1,14,AGLabdefghilmnorstvy
UNICODE_SUSPICIOUS,Genesis,1,15,abdefghilmnoprstuvw
UNICODE_SUSPICIOUS,Genesis,1,16,AGHadeghilmnorstuwy
UNICODE_SUSPICIOUS,Genesis,1,17,AGadefghilmnoprstuv
UNICODE_SUSPICIOUS,Genesis,1,18,AGadefghiklmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,1,19,Aadefghimnortuvwy
UNICODE_SUSPICIOUS,Genesis,1,20,AGLabcdefghilmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,1,21,AGabcdefghiklmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,1,22,ABGabdefghilmnoprstuwy
UNICODE_SUSPICIOUS,Genesis,1,23,Aadefghimnortvwy
UNICODE_SUSPICIOUS,Genesis,1,24,AGLabcdefghiklnoprstuvw
UNICODE_SUSPICIOUS,Genesis,1,25,AGabcdefghiklmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,1,26,AGLOUacdefghiklmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,1,27,GHSacdefghilmnorstw
UNICODE_SUSPICIOUS,Genesis,1,28,ABGabdefghilmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,1,29,ABGIabcdefghilmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,1,30,AIabcdefghilmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,1,31,AGHabdeghilmnorstvwxy
UNICODE_SUSPICIOUS,Genesis,2,1,Tadefhilmnorstuvw
UNICODE_SUSPICIOUS,Genesis,2,2,AGHacdefhiklmnorstvwy
UNICODE_SUSPICIOUS,Genesis,2,3,AGHabcdefhiklmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,2,4,DGLORTacdefghimnorstvwy
UNICODE_SUSPICIOUS,Genesis,2,5,DGLORabcdefghilmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,2,6,Bacdefghilmnoprstuw
UNICODE_SUSPICIOUS,Genesis,2,7,ADGLORabcdefghilmnorstuv
UNICODE_SUSPICIOUS,Genesis,2,8,ADEGHLORadefghilmnoprstuw
UNICODE_SUSPICIOUS,Genesis,2,9,ADGLORadefghiklmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,2,10,AEabcdefghimnoprstuvw
UNICODE_SUSPICIOUS,Genesis,2,11,HPTacdefghilmnoprstvw
UNICODE_SUSPICIOUS,Genesis,2,12,Aabdefghilmnorstuxy
UNICODE_SUSPICIOUS,Genesis,2,13,ACGacdefhilmnoprstuvw
UNICODE_SUSPICIOUS,Genesis,2,14,AEHacdefghiklmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,2,15,ADEGLORadefhikmnoprstu
UNICODE_SUSPICIOUS,Genesis,2,16,ADGLORacdefghilmnorstuvy
UNICODE_SUSPICIOUS,Genesis,2,17,Fabdefghiklnorstuvwy
UNICODE_SUSPICIOUS,Genesis,2,18,ADGILORabdefghiklmnoprstuw
UNICODE_SUSPICIOUS,Genesis,2,19,ADGLORabcdefghilmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,2,20,Aabcdefghilmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,2,21,ADGHLORabcdefhiklmnoprstu
UNICODE_SUSPICIOUS,Genesis,2,22,ADGHLORabcdefghikmnortuw
UNICODE_SUSPICIOUS,Genesis,2,23,AMTWabcdefhiklmnostuwy
UNICODE_SUSPICIOUS,Genesis,2,24,Tabcdefhilmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,2,25,Aabdefhikmnorstwy
UNICODE_SUSPICIOUS,Genesis,3,1,ADGLNORYabcdefghilmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,3,2,AWadefghimnoprstuwy
UNICODE_SUSPICIOUS,Genesis,3,3,GYabcdefghilmnorstuwy
UNICODE_SUSPICIOUS,Genesis,3,4,AYadehilmnoprstuwy
UNICODE_SUSPICIOUS,Genesis,3,5,Gabdefghiklnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,3,6,Aabdefghiklmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,3,7,Aabdefghiklmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,3,8,ADGLORacdefghiklmnoprstvwy
UNICODE_SUSPICIOUS,Genesis,3,9,ADGLORWacdehilmnorstu
UNICODE_SUSPICIOUS,Genesis,3,10,AITabcdefghiklmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,3,11,AHIWacdefhiklmnorstuw
UNICODE_SUSPICIOUS,Genesis,3,12,AITabdefghimnorstuvw
UNICODE_SUSPICIOUS,Genesis,3,13,ADGILORTWabdeghilmnoprstuw
UNICODE_SUSPICIOUS,Genesis,3,14,ABDGLORUabcdefghilnoprstuvy
UNICODE_SUSPICIOUS,Genesis,3,15,AHISabdehilmnoprstuwy
UNICODE_SUSPICIOUS,Genesis,3,16,HIUabcdefghilmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,3,17,ABHITacdefghiklmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,3,18,Tabdefghilnorstu
UNICODE_SUSPICIOUS,Genesis,3,19,Iabcdefghiklnorstuwy
