Issue Type,Book,Chapter,Verse,Details
EMPTY_VERSE,Matthew,17,21,
EMPTY_VERSE,Matthew,18,11,
EMPTY_VERSE,Matthew,23,14,
EMPTY_VERSE,Mark,7,16,
EMPTY_VERSE,Mark,9,44,
EMPTY_VERSE,Mark,9,46,
EMPTY_VERSE,Mark,11,26,
EMPTY_VERSE,Mark,15,28,
EMPTY_VERSE,Luke,17,36,
EMPTY_VERSE,Luke,23,17,
EMPTY_VERSE,John,5,4,
EMPTY_VERSE,Acts,8,37,
EMPTY_VERSE,Acts,15,34,
EMPTY_VERSE,Acts,24,7,
EMPTY_VERSE,Acts,28,29,
EMPTY_VERSE,Romans,16,24,
UNICODE_SUSPICIOUS,Genesis,1,1,GIabcdeghinorstv
UNICODE_SUSPICIOUS,Genesis,1,2,GNSacdefghiklmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,1,3,AGLabdeghilnorstw
UNICODE_SUSPICIOUS,Genesis,1,4,Gadefghiklmnoprstw
UNICODE_SUSPICIOUS,Genesis,1,5,AGacdefghiklmnorstvwy
UNICODE_SUSPICIOUS,Genesis,1,6,AGLabdefhimnoprstwx
UNICODE_SUSPICIOUS,Genesis,1,7,AGSabdefhimnoprstuvwx
UNICODE_SUSPICIOUS,Genesis,1,8,AGacdeghiklmnoprstvwxy
UNICODE_SUSPICIOUS,Genesis,1,9,AGLabcdeghiklnoprstuwy
UNICODE_SUSPICIOUS,Genesis,1,10,AGacdeghilnorstuwy
UNICODE_SUSPICIOUS,Genesis,1,11,AGLTabcdefghiklnoprstuvw
UNICODE_SUSPICIOUS,Genesis,1,12,AGTabcdefghiklnoprstuvw
UNICODE_SUSPICIOUS,Genesis,1,13,Aadeghimnorstvwy
UNICODE_SUSPICIOUS,Genesis,1,14,AGLabdefghiklmnoprstvxy
UNICODE_SUSPICIOUS,Genesis,1,15,Aabdefghiklmnoprstvwxy
UNICODE_SUSPICIOUS,Genesis,1,16,GHadeghilmnorstvwy
UNICODE_SUSPICIOUS,Genesis,1,17,Gadefghiklmnoprstvxy
UNICODE_SUSPICIOUS,Genesis,1,18,AGadefghiklmnoprstvwy
UNICODE_SUSPICIOUS,Genesis,1,19,Aadefghimnorstuvwy
UNICODE_SUSPICIOUS,Genesis,1,20,AGLabcdefghiklmnoprstuvwxy
UNICODE_SUSPICIOUS,Genesis,1,21,AGSabcdefghiklmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,1,22,BGabcdefhilmnorstuw
UNICODE_SUSPICIOUS,Genesis,1,23,Aadefghimnorstvwy
UNICODE_SUSPICIOUS,Genesis,1,24,AGLacdeghiklmnoprstuvw
UNICODE_SUSPICIOUS,Genesis,1,25,AGacdeghiklmnorstuvw
UNICODE_SUSPICIOUS,Genesis,1,26,GLTabcdefghiklmnorstuv
UNICODE_SUSPICIOUS,Genesis,1,27,GSacdefghilmnorstw
UNICODE_SUSPICIOUS,Genesis,1,28,BGRabcdefghilmnorstuvy
UNICODE_SUSPICIOUS,Genesis,1,29,GITabcdefghilnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,1,30,AIabcdefghilmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,1,31,AGadeghilmnorstvwxy
UNICODE_SUSPICIOUS,Genesis,2,1,Tacdehilmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,2,2,BGabdefghiklmnorstvwy
UNICODE_SUSPICIOUS,Genesis,2,3,AGabcdefghiklmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,2,4,DGLORTWacdefhimnorstuvwy
UNICODE_SUSPICIOUS,Genesis,2,5,DGLORabdefghiklmnoprstuwy
UNICODE_SUSPICIOUS,Genesis,2,6,abcdefghlmnoprstuw
UNICODE_SUSPICIOUS,Genesis,2,7,DGLORabcdefghilmnorstuv
UNICODE_SUSPICIOUS,Genesis,2,8,DEGLNORadefghilmnoprstuw
UNICODE_SUSPICIOUS,Genesis,2,9,ADGILORadefghiklmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,2,10,AEadefghilmnoprstuvw
UNICODE_SUSPICIOUS,Genesis,2,11,HPTadefghilmnorstuvw
UNICODE_SUSPICIOUS,Genesis,2,12,Tacdefghilmnorstxy
UNICODE_SUSPICIOUS,Genesis,2,13,CGTacdefghilmnorstuvw
UNICODE_SUSPICIOUS,Genesis,2,14,AETadefghilmnoprstuv
UNICODE_SUSPICIOUS,Genesis,2,15,DEGLORTacdefhikmnoprtuw
UNICODE_SUSPICIOUS,Genesis,2,16,ADGLORYacdefghimnortuy
UNICODE_SUSPICIOUS,Genesis,2,17,abdefghiklmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,2,18,DGILORTabdefghiklmnoprstuw
UNICODE_SUSPICIOUS,Genesis,2,19,DGHLNORabcdefghilmnorstuvw
UNICODE_SUSPICIOUS,Genesis,2,20,ABSabcdefghiklmnoprstuvw
UNICODE_SUSPICIOUS,Genesis,2,21,DGLORSabcdefghiklmnoprstuw
UNICODE_SUSPICIOUS,Genesis,2,22,DGLORTabdefghikmnortuw
UNICODE_SUSPICIOUS,Genesis,2,23,Tabcdefhiklmnorstuwy
UNICODE_SUSPICIOUS,Genesis,2,24,Fabcdefhilmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,2,25,Tabdefhiklmnorstwy
UNICODE_SUSPICIOUS,Genesis,3,1,DGHLNORYacdefghilmnoprstuwy
UNICODE_SUSPICIOUS,Genesis,3,2,TWadefghimnoprstuwy
UNICODE_SUSPICIOUS,Genesis,3,3,GYabcdefghilmnorstuwy
UNICODE_SUSPICIOUS,Genesis,3,4,Yadehilmnoprstuwy
UNICODE_SUSPICIOUS,Genesis,3,5,FGabdefghiklnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,3,6,SWabdefghiklmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,3,7,Tabcdefghiklmnoprstvwyz
UNICODE_SUSPICIOUS,Genesis,3,8,DGLORTacdefghiklmnorstuwy
UNICODE_SUSPICIOUS,Genesis,3,9,BDGLORWacdehlmnortuy
UNICODE_SUSPICIOUS,Genesis,3,10,HIabcdefghiknorstuwy
UNICODE_SUSPICIOUS,Genesis,3,11,AHIWacdefhiklmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,3,12,ITadefghimnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,3,13,DGILORTWacdehimnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,3,14,BCDGLORSYabcdefhiklmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,3,15,AIabcdefghiklmnoprstuwy
UNICODE_SUSPICIOUS,Genesis,3,16,ITYabcdefghilmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,3,17,ABCITYabcdefghilmnoprstuwy
UNICODE_SUSPICIOUS,Genesis,3,18,Iacdefhilnoprstuwy
UNICODE_SUSPICIOUS,Genesis,3,19,Babcdefghiklmnorstuwy
UNICODE_SUSPICIOUS,Genesis,3,20,AEabcdefghilmnorstuvw
UNICODE_SUSPICIOUS,Genesis,3,21,ADGLORTacdefghiklmnorstw
UNICODE_SUSPICIOUS,Genesis,3,22,ADGHLORTabcdefghiklmnorstuvw
UNICODE_SUSPICIOUS,Genesis,3,23,DEGLORSabcdefghikmnorstuw
UNICODE_SUSPICIOUS,Genesis,3,24,AEGabcdefghiklmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,4,1,ACDEILORSWabcdefghilmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,4,2,ACLNabcdefghiklnoprstvw
UNICODE_SUSPICIOUS,Genesis,4,3,CDILORabcefghilmnorstu
UNICODE_SUSPICIOUS,Genesis,4,4,ABDLORTabcdefghiklmnoprstuvw
UNICODE_SUSPICIOUS,Genesis,4,5,CSabcdefghiklnorstuvwy
UNICODE_SUSPICIOUS,Genesis,4,6,CDLORTWacdefghinorstuwy
UNICODE_SUSPICIOUS,Genesis,4,7,BIabcdefghilmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,4,8,ACLNabcdefghiklmnorstuwy
UNICODE_SUSPICIOUS,Genesis,4,9,ACDILORTWabdehiklmnoprstuwy
UNICODE_SUSPICIOUS,Genesis,4,10,DLORTWYabcdefghilmnorstuvy
UNICODE_SUSPICIOUS,Genesis,4,11,Nabcdefghilmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,4,12,WYabcdefghiklnoprstuwy
UNICODE_SUSPICIOUS,Genesis,4,13,CDILMORabcdehimnoprstuy
UNICODE_SUSPICIOUS,Genesis,4,14,ITabcdefghiklmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,4,15,BCDLNORTacdefghiklmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,4,16,CDELNORSacdefhilmnoprstuvw
UNICODE_SUSPICIOUS,Genesis,4,17,CEabcdefghilmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,4,18,EILMTabcdefhjlmnorstuw
UNICODE_SUSPICIOUS,Genesis,4,19,ALZacdehilmnortw
UNICODE_SUSPICIOUS,Genesis,4,20,AJabcdefghiklnorstvw
UNICODE_SUSPICIOUS,Genesis,4,21,HJabdefhilmnoprstuwy
UNICODE_SUSPICIOUS,Genesis,4,22,CNTZabdefghiklmnorstuwz
UNICODE_SUSPICIOUS,Genesis,4,23,AILZacdefghijklmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,4,24,CILacdefghimnstvy
UNICODE_SUSPICIOUS,Genesis,4,25,ACGSabcdefghiklmnoprstvwy
UNICODE_SUSPICIOUS,Genesis,4,26,ADELORSabcdefghilmnost
UNICODE_SUSPICIOUS,Genesis,5,1,AGTWacdefhiklmnorstuw
UNICODE_SUSPICIOUS,Genesis,5,2,AHabcdefhlmnrstwy
UNICODE_SUSPICIOUS,Genesis,5,3,ASWadeghiklmnorstvwy
UNICODE_SUSPICIOUS,Genesis,5,4,ASabdefghilmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,5,5,Aadeghilmnorstvy
UNICODE_SUSPICIOUS,Genesis,5,6,ESWabcdefhilmnorstvy
UNICODE_SUSPICIOUS,Genesis,5,7,AESabcdefghilmnorstuvy
UNICODE_SUSPICIOUS,Genesis,5,8,ASadeghilnorstvy
UNICODE_SUSPICIOUS,Genesis,5,9,EKWabcdefhilmnorstvy
UNICODE_SUSPICIOUS,Genesis,5,10,AEKabcdefghilmnorstuvy
UNICODE_SUSPICIOUS,Genesis,5,11,AEadeghilnorstvy
UNICODE_SUSPICIOUS,Genesis,5,12,KMWabcdefhilmnorstvy
UNICODE_SUSPICIOUS,Genesis,5,13,AKMabcdefghilmnorstuvy
UNICODE_SUSPICIOUS,Genesis,5,14,AKadeghilnorstvy
UNICODE_SUSPICIOUS,Genesis,5,15,JMWabcdefhilmnorstvy
UNICODE_SUSPICIOUS,Genesis,5,16,AJMabcdefghilmnorstuvy
UNICODE_SUSPICIOUS,Genesis,5,17,AMadeghilnorstvy
UNICODE_SUSPICIOUS,Genesis,5,18,EJWabcdefhilmnorstvy
UNICODE_SUSPICIOUS,Genesis,5,19,AEJabcdefghilmnorstuvy
UNICODE_SUSPICIOUS,Genesis,5,20,AJadeghilnorstvy
UNICODE_SUSPICIOUS,Genesis,5,21,EMWabcdefhilmnorstuvy
