Issue Type,Book,Chapter,Verse,Details
UNICODE_SUSPICIOUS,Genesis,1,1,GIabcdeghinorstv
UNICODE_SUSPICIOUS,Genesis,1,2,AGSTacdefghikmnoprstuvw
UNICODE_SUSPICIOUS,Genesis,1,3,GLTabdeghilnorstw
UNICODE_SUSPICIOUS,Genesis,1,4,AGadefghiklmnorstvw
UNICODE_SUSPICIOUS,Genesis,1,5,DGHNSacdefghiklmnorstvwy
UNICODE_SUSPICIOUS,Genesis,1,6,GLTabdefhilmnorstvw
UNICODE_SUSPICIOUS,Genesis,1,7,GTabcdefhimnorstuvw
UNICODE_SUSPICIOUS,Genesis,1,8,AGHSacdefghilmnorstvwy
UNICODE_SUSPICIOUS,Genesis,1,9,GLTabcdeghilnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,1,10,AEGHSacdefghilnorstwy
UNICODE_SUSPICIOUS,Genesis,1,11,GLTabcdefghiklnorstuwy
UNICODE_SUSPICIOUS,Genesis,1,12,AGabcdefghiklnorstuwy
UNICODE_SUSPICIOUS,Genesis,1,13,Sadeghimnortvwy
UNICODE_SUSPICIOUS,Genesis,1,14,GLTabdefghilmnorstvy
UNICODE_SUSPICIOUS,Genesis,1,15,abdefghilmnorstvw
UNICODE_SUSPICIOUS,Genesis,1,16,GHTadeghilmnorstuwy
UNICODE_SUSPICIOUS,Genesis,1,17,Gadefghilmnorstv
UNICODE_SUSPICIOUS,Genesis,1,18,AGadefghiklmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,1,19,Sadefghimnortuvwy
UNICODE_SUSPICIOUS,Genesis,1,20,GLTabcdefghilmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,1,21,AGSabcdeghiklmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,1,22,ABGabdefghilmnoprstuwy
UNICODE_SUSPICIOUS,Genesis,1,23,Sadefghimnortvwy
UNICODE_SUSPICIOUS,Genesis,1,24,GLTabcdefghiklnoprstuvw
UNICODE_SUSPICIOUS,Genesis,1,25,AGabcdefghiklmnoprstvwy
UNICODE_SUSPICIOUS,Genesis,1,26,GLOTUabcdefghiklmnoprstuvy
UNICODE_SUSPICIOUS,Genesis,1,27,GHSacdefghilmnorstw
UNICODE_SUSPICIOUS,Genesis,1,28,BGTabdefghilmnoprstuvy
UNICODE_SUSPICIOUS,Genesis,1,29,AGISabcdefghilnorstuvwy
UNICODE_SUSPICIOUS,Genesis,1,30,AIabcdefghilnoprstvwy
UNICODE_SUSPICIOUS,Genesis,1,31,GHSTadeghimnorstvwxy
UNICODE_SUSPICIOUS,Genesis,2,1,Tadefhilmnorstuvw
UNICODE_SUSPICIOUS,Genesis,2,2,AGHacdefhiklmnorstvwy
UNICODE_SUSPICIOUS,Genesis,2,3,GHTabcdefhiklmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,2,4,DGLORTacdefhimnorstvwy
UNICODE_SUSPICIOUS,Genesis,2,5,DFGLORabcdefghilmnoprstuwy
UNICODE_SUSPICIOUS,Genesis,2,6,abcdefghilmnoprstuw
UNICODE_SUSPICIOUS,Genesis,2,7,ADGLORabcdefghilmnorstuv
UNICODE_SUSPICIOUS,Genesis,2,8,DEGHLORTadefghilmnoprstuw
UNICODE_SUSPICIOUS,Genesis,2,9,ADGLORTadefghiklmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,2,10,ENabcdefghimnoprstuvw
UNICODE_SUSPICIOUS,Genesis,2,11,HPTacdefghiklmnorstvw
UNICODE_SUSPICIOUS,Genesis,2,12,ABadefghilmnorstuxy
UNICODE_SUSPICIOUS,Genesis,2,13,CGTacdefghilmnorstuvw
UNICODE_SUSPICIOUS,Genesis,2,14,AEHTacdefghiklmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,2,15,DEGLORTadefghikmnoprtu
UNICODE_SUSPICIOUS,Genesis,2,16,ADGLORacdefghilmnorstuvy
UNICODE_SUSPICIOUS,Genesis,2,17,abdefghiklnorstuvwy
UNICODE_SUSPICIOUS,Genesis,2,18,ADGILORabcdeghiklmnoprstuw
UNICODE_SUSPICIOUS,Genesis,2,19,ADGLORabcdefghilmnorstuvwy
UNICODE_SUSPICIOUS,Genesis,2,20,ABSabcdefghilmnoprstuvwy
UNICODE_SUSPICIOUS,Genesis,2,21,ADGHLORabcdefhiklmnoprstu
