Issue Type,Book,Chapter,Verse,Details
MISSING_VERSE_NUMBER,1 కొరింథీయులకు,4,15,
MISSING_VERSE_NUMBER,1 కొరింథీయులకు,4,16,
MISSING_VERSE_NUMBER,1 కొరింథీయులకు,12,24,
MISSING_VERSE_NUMBER,1 కొరింథీయులకు,12,25,
MISSING_VERSE_NUMBER,1 థెస్సలొనీకయులకు,3,2,
MISSING_VERSE_NUMBER,1 థెస్సలొనీకయులకు,3,3,
MISSING_VERSE_NUMBER,1 థెస్సలొనీకయులకు,4,11,
MISSING_VERSE_NUMBER,1 థెస్సలొనీకయులకు,4,12,
MISSING_VERSE_NUMBER,1 రాజులు,5,19,
MISSING_VERSE_NUMBER,1 రాజులు,5,20,
MISSING_VERSE_NUMBER,1 రాజులు,5,21,
MISSING_VERSE_NUMBER,1 రాజులు,5,22,
MISSING_VERSE_NUMBER,1 రాజులు,5,23,
MISSING_VERSE_NUMBER,1 రాజులు,5,24,
MISSING_VERSE_NUMBER,1 రాజులు,5,25,
MISSING_VERSE_NUMBER,1 రాజులు,5,26,
MISSING_VERSE_NUMBER,1 రాజులు,5,27,
MISSING_VERSE_NUMBER,1 రాజులు,5,28,
MISSING_VERSE_NUMBER,1 రాజులు,5,29,
MISSING_VERSE_NUMBER,1 రాజులు,5,30,
MISSING_VERSE_NUMBER,1 రాజులు,5,31,
MISSING_VERSE_NUMBER,1 రాజులు,5,32,
MISSING_VERSE_NUMBER,1 రాజులు,5,33,
MISSING_VERSE_NUMBER,1 రాజులు,5,34,
MISSING_VERSE_NUMBER,1 రాజులు,5,35,
MISSING_VERSE_NUMBER,1 రాజులు,5,36,
MISSING_VERSE_NUMBER,1 రాజులు,5,37,
MISSING_VERSE_NUMBER,1 రాజులు,5,38,
MISSING_VERSE_NUMBER,1 రాజులు,5,39,
MISSING_VERSE_NUMBER,1 రాజులు,5,40,
MISSING_VERSE_NUMBER,1 రాజులు,5,41,
MISSING_VERSE_NUMBER,1 రాజులు,5,42,
MISSING_VERSE_NUMBER,1 రాజులు,5,43,
MISSING_VERSE_NUMBER,1 రాజులు,5,44,
MISSING_VERSE_NUMBER,1 రాజులు,5,45,
MISSING_VERSE_NUMBER,1 రాజులు,5,46,
MISSING_VERSE_NUMBER,1 రాజులు,5,47,
MISSING_VERSE_NUMBER,1 రాజులు,5,48,
MISSING_VERSE_NUMBER,1 రాజులు,5,49,
MISSING_VERSE_NUMBER,1 రాజులు,5,50,
MISSING_VERSE_NUMBER,1 రాజులు,5,51,
MISSING_VERSE_NUMBER,1 రాజులు,5,52,
MISSING_VERSE_NUMBER,1 రాజులు,5,53,
MISSING_VERSE_NUMBER,1 రాజులు,5,54,
MISSING_VERSE_NUMBER,1 రాజులు,5,55,
MISSING_VERSE_NUMBER,1 రాజులు,5,56,
MISSING_VERSE_NUMBER,1 రాజులు,5,57,
MISSING_VERSE_NUMBER,1 రాజులు,5,58,
MISSING_VERSE_NUMBER,1 రాజులు,5,59,
MISSING_VERSE_NUMBER,1 రాజులు,5,60,
MISSING_VERSE_NUMBER,1 రాజులు,5,61,
MISSING_VERSE_NUMBER,1 రాజులు,5,62,
MISSING_VERSE_NUMBER,1 రాజులు,5,63,
MISSING_VERSE_NUMBER,1 రాజులు,5,64,
MISSING_VERSE_NUMBER,1 రాజులు,5,65,
MISSING_VERSE_NUMBER,1 రాజులు,5,66,
MISSING_VERSE_NUMBER,1 రాజులు,5,67,
MISSING_VERSE_NUMBER,1 రాజులు,5,68,
MISSING_VERSE_NUMBER,1 రాజులు,5,69,
MISSING_VERSE_NUMBER,1 రాజులు,5,70,
MISSING_VERSE_NUMBER,1 రాజులు,5,71,
MISSING_VERSE_NUMBER,1 రాజులు,5,72,
MISSING_VERSE_NUMBER,1 రాజులు,5,73,
MISSING_VERSE_NUMBER,1 రాజులు,5,74,
MISSING_VERSE_NUMBER,1 రాజులు,5,75,
MISSING_VERSE_NUMBER,1 రాజులు,5,76,
MISSING_VERSE_NUMBER,1 రాజులు,5,77,
MISSING_VERSE_NUMBER,1 రాజులు,5,78,
MISSING_VERSE_NUMBER,1 రాజులు,5,79,
MISSING_VERSE_NUMBER,1 రాజులు,5,80,
MISSING_VERSE_NUMBER,1 రాజులు,5,81,
MISSING_VERSE_NUMBER,1 రాజులు,5,82,
MISSING_VERSE_NUMBER,1 రాజులు,5,83,
MISSING_VERSE_NUMBER,1 రాజులు,5,84,
MISSING_VERSE_NUMBER,1 రాజులు,5,85,
MISSING_VERSE_NUMBER,1 రాజులు,5,86,
MISSING_VERSE_NUMBER,1 రాజులు,5,87,
MISSING_VERSE_NUMBER,1 రాజులు,5,88,
MISSING_VERSE_NUMBER,1 రాజులు,5,89,
MISSING_VERSE_NUMBER,1 రాజులు,5,90,
MISSING_VERSE_NUMBER,1 రాజులు,5,91,
MISSING_VERSE_NUMBER,1 రాజులు,5,92,
MISSING_VERSE_NUMBER,1 రాజులు,5,93,
MISSING_VERSE_NUMBER,1 రాజులు,5,94,
MISSING_VERSE_NUMBER,1 రాజులు,5,95,
MISSING_VERSE_NUMBER,1 రాజులు,5,96,
MISSING_VERSE_NUMBER,1 రాజులు,5,97,
MISSING_VERSE_NUMBER,1 రాజులు,5,98,
MISSING_VERSE_NUMBER,1 రాజులు,5,99,
MISSING_VERSE_NUMBER,1 రాజులు,5,100,
MISSING_VERSE_NUMBER,1 రాజులు,5,101,
MISSING_VERSE_NUMBER,1 రాజులు,5,102,
MISSING_VERSE_NUMBER,1 రాజులు,5,103,
MISSING_VERSE_NUMBER,1 రాజులు,5,104,
MISSING_VERSE_NUMBER,1 రాజులు,5,105,
MISSING_VERSE_NUMBER,1 రాజులు,5,106,
MISSING_VERSE_NUMBER,1 రాజులు,5,107,
MISSING_VERSE_NUMBER,1 రాజులు,5,108,
MISSING_VERSE_NUMBER,1 రాజులు,5,109,
MISSING_VERSE_NUMBER,1 రాజులు,5,110,
MISSING_VERSE_NUMBER,1 రాజులు,5,111,
MISSING_VERSE_NUMBER,1 రాజులు,5,112,
MISSING_VERSE_NUMBER,1 రాజులు,5,113,
MISSING_VERSE_NUMBER,1 రాజులు,5,114,
MISSING_VERSE_NUMBER,1 రాజులు,5,115,
MISSING_VERSE_NUMBER,1 రాజులు,5,116,
MISSING_VERSE_NUMBER,1 రాజులు,5,117,
MISSING_VERSE_NUMBER,1 రాజులు,5,118,
MISSING_VERSE_NUMBER,1 రాజులు,5,119,
MISSING_VERSE_NUMBER,1 రాజులు,5,120,
MISSING_VERSE_NUMBER,1 రాజులు,5,121,
MISSING_VERSE_NUMBER,1 రాజులు,5,122,
MISSING_VERSE_NUMBER,1 రాజులు,5,123,
MISSING_VERSE_NUMBER,1 రాజులు,5,124,
MISSING_VERSE_NUMBER,1 రాజులు,5,125,
MISSING_VERSE_NUMBER,1 రాజులు,5,126,
MISSING_VERSE_NUMBER,1 రాజులు,5,127,
MISSING_VERSE_NUMBER,1 రాజులు,5,128,
MISSING_VERSE_NUMBER,1 రాజులు,5,129,
MISSING_VERSE_NUMBER,1 రాజులు,5,130,
MISSING_VERSE_NUMBER,1 రాజులు,5,131,
MISSING_VERSE_NUMBER,1 రాజులు,5,132,
MISSING_VERSE_NUMBER,1 రాజులు,5,133,
MISSING_VERSE_NUMBER,1 రాజులు,5,134,
MISSING_VERSE_NUMBER,1 రాజులు,5,135,
MISSING_VERSE_NUMBER,1 రాజులు,5,136,
MISSING_VERSE_NUMBER,1 రాజులు,5,137,
MISSING_VERSE_NUMBER,1 రాజులు,5,138,
MISSING_VERSE_NUMBER,1 రాజులు,5,139,
MISSING_VERSE_NUMBER,1 రాజులు,5,140,
MISSING_VERSE_NUMBER,1 రాజులు,5,141,
MISSING_VERSE_NUMBER,1 రాజులు,5,142,
MISSING_VERSE_NUMBER,1 రాజులు,5,143,
MISSING_VERSE_NUMBER,1 రాజులు,5,144,
MISSING_VERSE_NUMBER,1 రాజులు,5,145,
MISSING_VERSE_NUMBER,1 రాజులు,5,146,
MISSING_VERSE_NUMBER,1 రాజులు,5,147,
MISSING_VERSE_NUMBER,1 రాజులు,5,148,
MISSING_VERSE_NUMBER,1 రాజులు,5,149,
MISSING_VERSE_NUMBER,1 రాజులు,5,150,
MISSING_VERSE_NUMBER,1 రాజులు,5,151,
MISSING_VERSE_NUMBER,1 రాజులు,5,152,
MISSING_VERSE_NUMBER,1 రాజులు,5,153,
MISSING_VERSE_NUMBER,1 రాజులు,5,154,
MISSING_VERSE_NUMBER,1 రాజులు,5,155,
MISSING_VERSE_NUMBER,1 రాజులు,5,156,
MISSING_VERSE_NUMBER,1 రాజులు,5,157,
MISSING_VERSE_NUMBER,1 రాజులు,5,158,
MISSING_VERSE_NUMBER,1 రాజులు,5,159,
MISSING_VERSE_NUMBER,1 రాజులు,5,160,
MISSING_VERSE_NUMBER,1 రాజులు,5,161,
MISSING_VERSE_NUMBER,1 రాజులు,5,162,
MISSING_VERSE_NUMBER,1 రాజులు,5,163,
MISSING_VERSE_NUMBER,1 రాజులు,5,164,
MISSING_VERSE_NUMBER,1 రాజులు,5,165,
MISSING_VERSE_NUMBER,1 రాజులు,5,166,
MISSING_VERSE_NUMBER,1 రాజులు,5,167,
MISSING_VERSE_NUMBER,1 రాజులు,5,168,
MISSING_VERSE_NUMBER,1 రాజులు,5,169,
MISSING_VERSE_NUMBER,1 రాజులు,5,170,
MISSING_VERSE_NUMBER,1 రాజులు,5,171,
MISSING_VERSE_NUMBER,1 రాజులు,5,172,
MISSING_VERSE_NUMBER,1 రాజులు,5,173,
MISSING_VERSE_NUMBER,1 రాజులు,5,174,
MISSING_VERSE_NUMBER,1 రాజులు,5,175,
MISSING_VERSE_NUMBER,1 రాజులు,5,176,
MISSING_VERSE_NUMBER,1 రాజులు,5,177,
MISSING_VERSE_NUMBER,1 రాజులు,5,178,
MISSING_VERSE_NUMBER,1 రాజులు,5,179,
MISSING_VERSE_NUMBER,1 రాజులు,5,180,
MISSING_VERSE_NUMBER,1 రాజులు,5,181,
MISSING_VERSE_NUMBER,1 రాజులు,5,182,
MISSING_VERSE_NUMBER,1 రాజులు,5,183,
MISSING_VERSE_NUMBER,1 రాజులు,5,184,
MISSING_VERSE_NUMBER,1 రాజులు,5,185,
MISSING_VERSE_NUMBER,1 రాజులు,5,186,
MISSING_VERSE_NUMBER,1 రాజులు,5,187,
MISSING_VERSE_NUMBER,1 రాజులు,5,188,
MISSING_VERSE_NUMBER,1 రాజులు,5,189,
MISSING_VERSE_NUMBER,1 రాజులు,5,190,
MISSING_VERSE_NUMBER,1 రాజులు,5,191,
MISSING_VERSE_NUMBER,1 రాజులు,5,192,
MISSING_VERSE_NUMBER,1 రాజులు,5,193,
MISSING_VERSE_NUMBER,1 రాజులు,5,194,
MISSING_VERSE_NUMBER,1 రాజులు,5,195,
MISSING_VERSE_NUMBER,1 రాజులు,5,196,
MISSING_VERSE_NUMBER,1 రాజులు,5,197,
MISSING_VERSE_NUMBER,1 రాజులు,5,198,
MISSING_VERSE_NUMBER,1 రాజులు,5,199,
MISSING_VERSE_NUMBER,1 రాజులు,5,200,
MISSING_VERSE_NUMBER,1 రాజులు,5,201,
MISSING_VERSE_NUMBER,1 రాజులు,5,202,
MISSING_VERSE_NUMBER,1 రాజులు,5,203,
MISSING_VERSE_NUMBER,1 రాజులు,5,204,
MISSING_VERSE_NUMBER,1 రాజులు,5,205,
MISSING_VERSE_NUMBER,1 రాజులు,5,206,
MISSING_VERSE_NUMBER,1 రాజులు,5,207,
MISSING_VERSE_NUMBER,1 రాజులు,5,208,
MISSING_VERSE_NUMBER,1 రాజులు,5,209,
MISSING_VERSE_NUMBER,1 రాజులు,5,210,
MISSING_VERSE_NUMBER,1 రాజులు,5,211,
MISSING_VERSE_NUMBER,1 రాజులు,5,212,
MISSING_VERSE_NUMBER,1 రాజులు,5,213,
MISSING_VERSE_NUMBER,1 రాజులు,5,214,
MISSING_VERSE_NUMBER,1 రాజులు,5,215,
MISSING_VERSE_NUMBER,1 రాజులు,5,216,
MISSING_VERSE_NUMBER,1 రాజులు,5,217,
MISSING_VERSE_NUMBER,1 రాజులు,5,218,
MISSING_VERSE_NUMBER,1 రాజులు,5,219,
MISSING_VERSE_NUMBER,1 రాజులు,5,220,
MISSING_VERSE_NUMBER,1 రాజులు,5,221,
MISSING_VERSE_NUMBER,1 రాజులు,5,222,
MISSING_VERSE_NUMBER,1 రాజులు,5,223,
MISSING_VERSE_NUMBER,1 రాజులు,5,224,
MISSING_VERSE_NUMBER,1 రాజులు,5,225,
MISSING_VERSE_NUMBER,1 రాజులు,5,226,
MISSING_VERSE_NUMBER,1 రాజులు,5,227,
MISSING_VERSE_NUMBER,1 రాజులు,5,228,
MISSING_VERSE_NUMBER,1 రాజులు,5,229,
MISSING_VERSE_NUMBER,1 రాజులు,5,230,
MISSING_VERSE_NUMBER,1 రాజులు,5,231,
MISSING_VERSE_NUMBER,1 రాజులు,5,232,
MISSING_VERSE_NUMBER,1 రాజులు,5,233,
MISSING_VERSE_NUMBER,1 రాజులు,5,234,
MISSING_VERSE_NUMBER,1 రాజులు,5,235,
MISSING_VERSE_NUMBER,1 రాజులు,5,236,
MISSING_VERSE_NUMBER,1 రాజులు,5,237,
MISSING_VERSE_NUMBER,1 రాజులు,5,238,
MISSING_VERSE_NUMBER,1 రాజులు,5,239,
MISSING_VERSE_NUMBER,1 రాజులు,5,240,
MISSING_VERSE_NUMBER,1 రాజులు,5,241,
MISSING_VERSE_NUMBER,1 రాజులు,5,242,
MISSING_VERSE_NUMBER,1 రాజులు,5,243,
MISSING_VERSE_NUMBER,1 రాజులు,5,244,
MISSING_VERSE_NUMBER,1 రాజులు,5,245,
MISSING_VERSE_NUMBER,1 రాజులు,5,246,
MISSING_VERSE_NUMBER,1 రాజులు,5,247,
MISSING_VERSE_NUMBER,1 రాజులు,5,248,
MISSING_VERSE_NUMBER,1 రాజులు,5,249,
MISSING_VERSE_NUMBER,1 రాజులు,5,250,
MISSING_VERSE_NUMBER,1 రాజులు,5,251,
MISSING_VERSE_NUMBER,1 రాజులు,5,252,
MISSING_VERSE_NUMBER,1 రాజులు,5,253,
MISSING_VERSE_NUMBER,1 రాజులు,5,254,
MISSING_VERSE_NUMBER,1 రాజులు,5,255,
MISSING_VERSE_NUMBER,1 రాజులు,5,256,
MISSING_VERSE_NUMBER,1 రాజులు,5,257,
MISSING_VERSE_NUMBER,1 రాజులు,5,258,
MISSING_VERSE_NUMBER,1 రాజులు,5,259,
MISSING_VERSE_NUMBER,1 రాజులు,5,260,
