Issue Type,Book,Chapter,Verse,Details
EMPTY_VERSE,Psalm,3,1,
EMPTY_VERSE,Psalm,3,2,
EMPTY_VERSE,Psalm,3,3,
EMPTY_VERSE,Psalm,3,4,
EMPTY_VERSE,Psalm,3,5,
EMPTY_VERSE,Psalm,3,6,
EMPTY_VERSE,Psalm,3,7,
EMPTY_VERSE,Psalm,3,8,
UNICODE_SUSPICIOUS,Genesis,4,3,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,4,4,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,6,2,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,6,3,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,6,4,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,6,11,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,6,12,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,7,8,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,7,9,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,7,11,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,7,12,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,7,13,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,7,21,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,7,22,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,8,3,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,8,4,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,9,9,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,20,17,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,20,18,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,23,17,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,23,18,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,24,29,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,24,30,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,25,5,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,25,6,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,30,23,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,30,24,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,31,14,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,31,15,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,35,14,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,35,15,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,36,6,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,36,7,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,36,8,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,36,40,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,36,41,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,36,42,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,36,43,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,43,21,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Genesis,43,22,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Exodus,1,20,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Exodus,1,21,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Exodus,5,23,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Exodus,7,25,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Exodus,9,9,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Exodus,19,12,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Exodus,19,13,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Exodus,22,2,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Exodus,22,3,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Exodus,28,36,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Exodus,28,37,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Exodus,29,40,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Exodus,29,41,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,9,9,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,11,4,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,11,5,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,11,6,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,11,10,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,11,11,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,11,26,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,11,27,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,12,7,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,12,8,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,13,24,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,13,25,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,13,51,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,13,52,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,18,26,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,18,27,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,18,28,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,18,29,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,18,30,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,22,19,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Leviticus,22,20,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Numbers,1,17,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Numbers,1,18,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Numbers,3,33,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Numbers,3,34,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Numbers,3,51,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Numbers,7,12,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Numbers,7,13,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Numbers,7,14,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Numbers,7,15,Tabefhilmnoprstvy
UNICODE_SUSPICIOUS,Numbers,7,16,Tabefhilmnoprstvy
